,0
0,0.0
1,0.0078125
2,0.015625
3,0.0234375
4,0.03125
5,0.0390625
6,0.046875
7,0.0546875
8,0.0625
9,0.0703125
10,0.078125
11,0.0859375
12,0.09375
13,0.1015625
14,0.109375
15,0.1171875
16,0.125
17,0.1328125
18,0.140625
19,0.1484375
20,0.15625
21,0.1640625
22,0.171875
23,0.1796875
24,0.1875
25,0.1953125
26,0.203125
27,0.2109375
28,0.21875
29,0.2265625
30,0.234375
31,0.2421875
32,0.25
33,0.2578125
34,0.265625
35,0.2734375
36,0.28125
37,0.2890625
38,0.296875
39,0.3046875
40,0.3125
41,0.3203125
42,0.328125
43,0.3359375
44,0.34375
45,0.3515625
46,0.359375
47,0.3671875
48,0.375
49,0.3828125
50,0.390625
51,0.3984375
52,0.40625
53,0.4140625
54,0.421875
55,0.4296875
56,0.4375
57,0.4453125
58,0.453125
59,0.4609375
60,0.46875
61,0.4765625
62,0.484375
63,0.4921875
64,0.5
65,0.5078125
66,0.515625
67,0.5234375
68,0.53125
69,0.5390625
70,0.546875
71,0.5546875
72,0.5625
73,0.5703125
74,0.578125
75,0.5859375
76,0.59375
77,0.6015625
78,0.609375
79,0.6171875
80,0.625
81,0.6328125
82,0.640625
83,0.6484375
84,0.65625
85,0.6640625
86,0.671875
87,0.6796875
88,0.6875
89,0.6953125
90,0.703125
91,0.7109375
92,0.71875
93,0.7265625
94,0.734375
95,0.7421875
96,0.75
97,0.7578125
98,0.765625
99,0.7734375
100,0.78125
101,0.7890625
102,0.796875
103,0.8046875
104,0.8125
105,0.8203125
106,0.828125
107,0.8359375
108,0.84375
109,0.8515625
110,0.859375
111,0.8671875
112,0.875
113,0.8828125
114,0.890625
115,0.8984375
116,0.90625
117,0.9140625
118,0.921875
119,0.9296875
120,0.9375
121,0.9453125
122,0.953125
123,0.9609375
124,0.96875
125,0.9765625
126,0.984375
127,0.9921875
128,1.0
129,1.0078125
130,1.015625
131,1.0234375
132,1.03125
133,1.0390625
134,1.046875
135,1.0546875
136,1.0625
137,1.0703125
138,1.078125
139,1.0859375
140,1.09375
141,1.1015625
142,1.109375
143,1.1171875
144,1.125
145,1.1328125
146,1.140625
147,1.1484375
148,1.15625
149,1.1640625
150,1.171875
151,1.1796875
152,1.1875
153,1.1953125
154,1.203125
155,1.2109375
156,1.21875
157,1.2265625
158,1.234375
159,1.2421875
160,1.25
161,1.2578125
162,1.265625
163,1.2734375
164,1.28125
165,1.2890625
166,1.296875
167,1.3046875
168,1.3125
169,1.3203125
170,1.328125
171,1.3359375
172,1.34375
173,1.3515625
174,1.359375
175,1.3671875
176,1.375
177,1.3828125
178,1.390625
179,1.3984375
180,1.40625
181,1.4140625
182,1.421875
183,1.4296875
184,1.4375
185,1.4453125
186,1.453125
187,1.4609375
188,1.46875
189,1.4765625
190,1.484375
191,1.4921875
192,1.5
193,1.5078125
194,1.515625
195,1.5234375
196,1.53125
197,1.5390625
198,1.546875
199,1.5546875
200,1.5625
201,1.5703125
202,1.578125
203,1.5859375
204,1.59375
205,1.6015625
206,1.609375
207,1.6171875
208,1.625
209,1.6328125
210,1.640625
211,1.6484375
212,1.65625
213,1.6640625
214,1.671875
215,1.6796875
216,1.6875
217,1.6953125
218,1.703125
219,1.7109375
220,1.71875
221,1.7265625
222,1.734375
223,1.7421875
224,1.75
225,1.7578125
226,1.765625
227,1.7734375
228,1.78125
229,1.7890625
230,1.796875
231,1.8046875
232,1.8125
233,1.8203125
234,1.828125
235,1.8359375
236,1.84375
237,1.8515625
238,1.859375
239,1.8671875
240,1.875
241,1.8828125
242,1.890625
243,1.8984375
244,1.90625
245,1.9140625
246,1.921875
247,1.9296875
248,1.9375
249,1.9453125
250,1.953125
251,1.9609375
252,1.96875
253,1.9765625
254,1.984375
255,1.9921875
256,2.0
257,2.0078125
258,2.015625
259,2.0234375
260,2.03125
261,2.0390625
262,2.046875
263,2.0546875
264,2.0625
265,2.0703125
266,2.078125
267,2.0859375
268,2.09375
269,2.1015625
270,2.109375
271,2.1171875
272,2.125
273,2.1328125
274,2.140625
275,2.1484375
276,2.15625
277,2.1640625
278,2.171875
279,2.1796875
280,2.1875
281,2.1953125
282,2.203125
